pressure,temperature,ML,Buch,Cracknell,Vrabec,Tahery,NIST
40,300,5.55E-07,3.6076E-07,4.8759E-07,4.3406E-07,3.837E-07,5.6864E-07
40,320,5.88E-07,4.721E-07,5.32215E-07,5.2202E-07,5.114E-07,6.1992E-07
40,340,6.99E-07,5.0238E-07,5.74665E-07,5.9382E-07,5.059E-07,6.7339E-07
40,360,7.21E-07,5.1004E-07,6.06285E-07,5.2292E-07,5.8084E-07,0.000000729
40,380,8.32E-07,6.0918E-07,6.03405E-07,6.1708E-07,6.1308E-07,7.867E-07
40,400,8.63E-07,5.5418E-07,6.258E-07,6.3806E-07,6.7658E-07,8.4645E-07
40,420,9.86E-07,7.1426E-07,6.8256E-07,6.6814E-07,7.1724E-07,9.082E-07
40,440,1.02E-06,7.9134E-07,7.5966E-07,6.687E-07,8.2334E-07,9.7192E-07
40,460,1.09E-06,7.9168E-07,9.3873E-07,8.3118E-07,9.246E-07,1.0376E-06
40,480,1.21E-06,9.2932E-07,9.21105E-07,7.9152E-07,9.149E-07,1.1051E-06
40,500,1.26E-06,9.4628E-07,1.1381E-06,8.355E-07,1.06652E-06,1.1746E-06
40,520,1.25E-06,9.4044E-07,1.03761E-06,9.0864E-07,1.11952E-06,1.2459E-06
40,540,1.38E-06,1.08862E-06,1.07523E-06,1.04528E-06,1.06064E-06,0.000001319
40,560,1.48E-06,1.16632E-06,1.07715E-06,9.738E-07,1.36054E-06,0.000001394
40,580,1.46E-06,1.24444E-06,1.25418E-06,9.8008E-07,1.31686E-06,1.4708E-06
40,600,1.52E-06,1.15778E-06,1.33266E-06,1.1555E-06,1.53486E-06,1.5495E-06
40,620,1.71E-06,1.3243E-06,1.53465E-06,1.14088E-06,1.58404E-06,1.6299E-06
40,640,1.80E-06,1.16478E-06,1.43532E-06,1.51282E-06,1.50542E-06,1.7122E-06
40,660,1.90E-06,1.48558E-06,1.68885E-06,1.28616E-06,1.65494E-06,1.7963E-06
40,680,2.03E-06,1.54954E-06,1.6674E-06,1.5771E-06,1.74882E-06,1.8822E-06
40,700,2.13E-06,1.54678E-06,1.7169E-06,1.46198E-06,1.79882E-06,1.9699E-06
60,300,4.76E-07,3.053E-07,4.3672E-07,3.0458E-07,3.1884E-07,4.538E-07
60,320,4.97E-07,3.052E-07,5.4464E-07,3.2738E-07,3.3124E-07,4.8884E-07
60,340,5.75E-07,3.731E-07,4.7186E-07,3.7248E-07,4.0398E-07,5.2534E-07
60,360,5.85E-07,3.909E-07,5.8672E-07,4.0274E-07,4.3984E-07,5.6326E-07
60,380,6.57E-07,4.373E-07,6.2796E-07,3.8182E-07,4.1912E-07,6.0255E-07
60,400,6.93E-07,4.0524E-07,6.6264E-07,4.5498E-07,4.9786E-07,6.4317E-07
60,420,7.74E-07,4.4888E-07,7.3132E-07,4.6778E-07,5.8622E-07,6.8508E-07
60,440,7.87E-07,5.3722E-07,8.3346E-07,4.9702E-07,5.0532E-07,7.2827E-07
60,460,8.50E-07,5.3374E-07,8.4686E-07,5.4808E-07,6.4846E-07,7.7271E-07
60,480,9.18E-07,6.0388E-07,9.2532E-07,5.687E-07,6.5796E-07,8.1839E-07
60,500,9.44E-07,6.3396E-07,9.1192E-07,6.478E-07,7.4058E-07,8.6529E-07
60,520,9.38E-07,7.2298E-07,1.00976E-06,7.506E-07,7.2448E-07,9.1342E-07
60,540,1.01E-06,6.4198E-07,1.13982E-06,7.2054E-07,7.4156E-07,9.6276E-07
60,560,1.07E-06,6.9884E-07,1.21786E-06,7.2586E-07,8.0612E-07,1.0133E-06
60,580,1.04E-06,7.5986E-07,1.25192E-06,7.6966E-07,8.771E-07,1.0651E-06
60,600,1.08E-06,8.0204E-07,1.1598E-06,7.6272E-07,7.1532E-07,0.000001118
60,620,1.19E-06,8.8696E-07,1.35278E-06,8.1384E-07,9.178E-07,1.1722E-06
60,640,1.24E-06,1.10242E-06,1.3818E-06,8.2688E-07,1.05142E-06,1.2276E-06
60,660,1.29E-06,9.3622E-07,1.60644E-06,8.9092E-07,1.19246E-06,1.2842E-06
60,680,1.36E-06,1.25158E-06,1.61762E-06,1.0049E-06,1.09782E-06,0.000001342
60,700,1.39E-06,1.01408E-06,1.6371E-06,1.16794E-06,1.12454E-06,0.000001401
80,300,3.99E-07,2.2232E-07,3.6286E-07,2.1518E-07,2.4118E-07,4.0449E-07
80,320,4.18E-07,2.667E-07,3.955E-07,2.6168E-07,2.4254E-07,4.3111E-07
80,340,4.74E-07,2.8362E-07,4.0948E-07,2.5722E-07,2.8294E-07,4.5902E-07
80,360,4.95E-07,2.5676E-07,4.111E-07,3.205E-07,3.4466E-07,4.8809E-07
80,380,5.45E-07,3.0178E-07,4.6404E-07,2.911E-07,3.9182E-07,5.1825E-07
80,400,6.32E-07,3.4502E-07,5.2334E-07,3.6202E-07,3.6354E-07,5.4943E-07
80,420,6.13E-07,3.2256E-07,5.2618E-07,4.1076E-07,4.0648E-07,5.8159E-07
80,440,6.83E-07,4.1046E-07,5.1604E-07,4.1926E-07,4.4492E-07,6.1469E-07
80,460,6.52E-07,4.4362E-07,6.0654E-07,3.9712E-07,4.5512E-07,6.4871E-07
80,480,7.38E-07,4.3844E-07,7.2524E-07,4.2046E-07,4.5168E-07,6.8363E-07
80,500,7.79E-07,5.0712E-07,6.7042E-07,5.387E-07,5.4762E-07,7.1943E-07
80,520,8.09E-07,5.2454E-07,6.9754E-07,4.2566E-07,6.405E-07,7.5611E-07
80,540,8.94E-07,0.000000582,8.5202E-07,5.6916E-07,6.2742E-07,7.9367E-07
80,560,8.49E-07,4.8926E-07,8.698E-07,6.0256E-07,6.6088E-07,8.321E-07
80,580,9.13E-07,5.7602E-07,7.8318E-07,5.7208E-07,6.0368E-07,8.714E-07
80,600,9.88E-07,6.4214E-07,1.1349E-06,6.6494E-07,6.6076E-07,9.1158E-07
80,620,1.03E-06,6.609E-07,9.3558E-07,6.8698E-07,8.0156E-07,9.5264E-07
80,640,1.03E-06,6.9922E-07,1.02408E-06,7.1322E-07,7.1742E-07,9.9458E-07
80,660,1.04E-06,7.4162E-07,1.21194E-06,6.8798E-07,8.3024E-07,1.0374E-06
80,680,1.12E-06,7.914E-07,1.24512E-06,9.3678E-07,7.748E-07,1.0811E-06
80,700,1.21E-06,8.7848E-07,1.1827E-06,7.0304E-07,1.01378E-06,1.1257E-06
100,300,3.62E-07,1.99E-07,2.46E-07,1.90308E-07,1.98922E-07,3.8391E-07
100,320,4.03E-07,2.35E-07,2.46E-07,1.8901E-07,2.214E-07,4.0449E-07
100,340,4.47E-07,2.21E-07,3.40E-07,2.1932E-07,2.6242E-07,4.2646E-07
100,360,4.51E-07,2.45E-07,3.42E-07,2.5778E-07,2.592E-07,4.4964E-07
100,380,4.92E-07,2.22E-07,3.88E-07,0.000000267,2.7764E-07,4.739E-07
100,400,5.22E-07,2.94E-07,3.75E-07,2.9548E-07,3.3078E-07,4.9912E-07
100,420,5.52E-07,3.31E-07,5.30E-07,3.257E-07,3.3526E-07,5.2524E-07
100,440,5.46E-07,2.95E-07,4.82E-07,2.902E-07,3.5472E-07,5.5218E-07
100,460,5.90E-07,3.34E-07,5.66E-07,4.0316E-07,4.128E-07,5.799E-07
100,480,6.33E-07,4.25E-07,5.77E-07,3.7936E-07,4.3086E-07,6.0837E-07
100,500,6.30E-07,4.12E-07,5.89E-07,4.1362E-07,3.9546E-07,6.3755E-07
100,520,7.07E-07,3.95E-07,5.66E-07,4.5212E-07,4.9026E-07,6.6744E-07
100,540,7.04E-07,4.11E-07,6.27E-07,4.5892E-07,5.6526E-07,6.9802E-07
100,560,7.75E-07,4.43E-07,6.99E-07,4.7616E-07,5.1696E-07,7.2929E-07
100,580,7.84E-07,5.22E-07,7.44E-07,5.133E-07,5.8664E-07,7.6124E-07
100,600,8.18E-07,5.70E-07,8.67E-07,5.0198E-07,6.2036E-07,7.9387E-07
100,620,7.84E-07,5.63E-07,8.32E-07,5.8764E-07,5.6674E-07,8.2717E-07
100,640,8.12E-07,5.88E-07,8.51E-07,6.1592E-07,6.139E-07,8.6116E-07
100,660,8.45E-07,6.76E-07,8.68E-07,6.5448E-07,6.767E-07,8.9584E-07
100,680,9.20E-07,6.93E-07,9.92E-07,6.8448E-07,6.9534E-07,9.312E-07
100,700,8.59E-07,6.49E-07,1.07E-06,7.0448E-07,7.886E-07,9.6724E-07
120,300,3.85E-07,1.70E-07,2.22E-07,1.55E-07,1.71156E-07,3.8197E-07
120,320,4.05E-07,1.73E-07,2.14E-07,1.84E-07,1.96854E-07,3.9717E-07
