pressure,temperature,nianduexperimentalvalue,nianduarticle title,doi
3.0088,15,27.22,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
2.5331,15,26.46,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
1.8834,15,25.16,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
1.1806,15,24.03,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
0.6488,15,23.13,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
6.3878,16,29.47,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
5.6219,16,28.23,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
4.9834,16,27.25,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
4.0488,16,25.89,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
3.1179,16,24.33,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
1.7352,16,22.27,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
9.9341,17,31.19,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
7.8697,17,28.09,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
5.4247,17,24.95,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
2.8375,17,21.38,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
0.8854,17,18.87,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
11.7904,18,30.69,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
10.4074,18,28.62,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
8.8624,18,26.7,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
7.5695,18,25.21,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
6.1398,18,23.56,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
4.8953,18,22.03,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
3.1628,18,19.81,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
1.7136,18,18.06,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
12.6794,19,29.01,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
11.191,19,27.1,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
9.5508,19,25.24,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
8.2219,19,23.67,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
6.5581,19,21.96,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
5.2359,19,20.56,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
3.8906,19,18.94,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
1.8413,19,16.8,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
21.2089,20,36.13,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
20.0661,20,34.65,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
18.8902,20,33.36,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
17.1656,20,31.15,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
16.2346,20,30.26,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
14.5832,20,28.39,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
13.4369,20,27.15,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
12.4941,20,26.15,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
10.9649,20,24.66,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
10.9057,20,24.48,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
9.3542,20,22.8,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
8.3429,20,21.96,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
7.9567,20,21.5,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
6.5755,20,20.11,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
6.0865,20,19.75,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
5.3128,20,18.78,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
4.1357,20,17.55,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
3.9376,20,17.62,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
3.1619,20,16.65,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
2.0587,20,15.74,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
1.8393,20,15.44,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
25.4537,21,37.81,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
22.4032,21,34.35,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
18.5608,21,30.08,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
15.565,21,27.12,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
12.5629,21,24.26,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
10.3305,21,22.1,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
7.8704,21,19.82,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
6.7112,21,18.83,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
5.3233,21,17.51,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
4.1502,21,16.34,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
3.4505,21,15.71,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
2.1096,21,14.53,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
25.5348,22,25.5348,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
20.4423,22,20.4423,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
16.8383,22,16.8383,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
16.4715,22,16.4715,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
14.087,22,14.087,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
13.1017,22,13.1017,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
11.8877,22,11.8877,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
10.1613,22,10.1613,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
8.5451,22,8.5451,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
6.2777,22,6.2777,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
5.9573,22,5.9573,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
4.4846,22,4.4846,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
2.8889,22,2.8889,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
1.5133,22,1.5133,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
25.2319,23,31.9,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
22.2343,23,23.16,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
18.5707,23,25.99,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
14.8964,23,22.98,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
11.833,23,20.43,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
9.6954,23,18.71,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
7.3856,23,17.03,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
5.7297,23,15.56,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
4.4852,23,14.5,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
3.1705,23,13.52,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
1.972,23,12.54,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
25.2319,25,31.9,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
22.2343,25,23.16,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
18.5707,25,25.99,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
14.8964,25,22.98,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
11.833,25,20.43,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
9.6954,25,18.71,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
7.3856,25,17.03,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
5.7297,25,15.56,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
4.4852,25,14.5,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
3.1705,25,13.52,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
1.972,25,12.54,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
28.6861,27,26.72,Measurements of the Viscosity of Parahydrogen,10.1063/1.1696250
