pressure,temperature,redaoexperimentalvalue,redaoarticle title,redaodoi
2,275.15,0.19356,Thermal Conductivity of Four Polyatomic Gases,10.1039/F19817700697
2.5,275.65,0.19372,Thermal Conductivity of Four Polyatomic Gases,10.1039/F19817700697
3.13,276.28,0.19429,Thermal Conductivity of Four Polyatomic Gases,10.1039/F19817700697
3.64,276.79,0.1945,Thermal Conductivity of Four Polyatomic Gases,10.1039/F19817700697
4.35,277.5,0.19511,Thermal Conductivity of Four Polyatomic Gases,10.1039/F19817700697
5.02,278.17,0.19528,Thermal Conductivity of Four Polyatomic Gases,10.1039/F19817700697
5.79,278.94,0.19597,Thermal Conductivity of Four Polyatomic Gases,10.1039/F19817700697
6.51,279.66,0.19667,Thermal Conductivity of Four Polyatomic Gases,10.1039/F19817700697
7.2,280.35,0.19694,Thermal Conductivity of Four Polyatomic Gases,10.1039/F19817700697
7.73,280.88,0.19749,Thermal Conductivity of Four Polyatomic Gases,10.1039/F19817700697
8.4,281.55,0.19774,Thermal Conductivity of Four Polyatomic Gases,10.1039/F19817700697
9.17,282.32,0.19825,Thermal Conductivity of Four Polyatomic Gases,10.1039/F19817700697
0.267,323.2,0.1973,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
0.266,323.2,0.1971,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
5.188,323.2,0.2031,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
5.19,323.2,0.2031,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
5.193,323.19,0.2032,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
5.191,323.19,0.2032,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
5.186,323.2,0.2029,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
10.1,323.19,0.2065,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
10.095,323.2,0.2065,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
10.094,323.2,0.2067,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
10.087,323.2,0.2067,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
10.084,323.2,0.2067,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
19.987,323.2,0.2147,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
19.998,323.2,0.2146,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
20,323.2,0.2142,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
19.989,323.2,0.2142,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
19.98,323.21,0.2147,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
40.02,323.2,0.2313,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
40.011,323.2,0.2308,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
39.993,323.2,0.2306,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
39.984,323.2,0.2311,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
40.006,323.2,0.2312,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
59.985,323.2,0.2488,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
59.986,323.2,0.2482,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
59.968,323.2,0.2483,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
59.948,323.2,0.2488,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
59.935,323.2,0.2488,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
80.034,323.2,0.2657,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
80.012,323.2,0.2648,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
79.984,323.2,0.2654,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
79.963,323.2,0.2659,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
80.001,323.2,0.2659,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
97.745,323.2,0.2813,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
97.707,323.2,0.2804,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
97.716,323.2,0.282,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
97.753,323.2,0.2816,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
97.762,323.2,0.2814,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
0.599,373.23,0.2224,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
0.599,373.22,0.2225,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
0.598,373.22,0.2223,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
0.598,373.22,0.2224,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
5.171,373.23,0.2262,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
5.17,373.22,0.2262,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
5.17,373.22,0.226,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
5.17,373.22,0.2261,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
10.219,373.23,0.2296,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
10.219,373.23,0.2295,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
10.219,373.23,0.2296,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
10.219,373.23,0.2298,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
30.119,373.23,0.2438,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
30.12,373.23,0.2437,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
30.12,373.23,0.2433,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
30.122,373.23,0.2432,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
50.144,373.23,0.2589,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
50.144,373.23,0.2588,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
50.144,373.23,0.2589,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
70.084,373.23,0.2757,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
70.084,373.22,0.2758,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
70.086,373.22,0.2758,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
98.197,373.22,0.2988,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
98.193,373.22,0.2983,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
98.19,373.23,0.2987,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
98.187,373.22,0.2983,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
0.4,423.27,0.2421,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
0.402,423.27,0.2431,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
0.403,423.26,0.2426,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
0.404,423.26,0.2418,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
5.113,423.26,0.2477,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
5.114,423.26,0.2476,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
5.114,423.25,0.2475,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
10.104,423.26,0.2499,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
10.105,423.25,0.2494,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
10.105,423.25,0.2502,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
30.087,423.25,0.262,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
30.087,423.25,0.2619,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
30.087,423.25,0.2615,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
50.1,423.26,0.2771,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
50.1,423.26,0.2762,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
50.102,423.25,0.2764,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
70.147,423.25,0.2939,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
70.15,423.25,0.2927,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
70.155,423.25,0.2923,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
96.975,423.25,0.314,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
96.978,423.25,0.3137,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
96.98,423.25,0.3142,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
0.365,573.28,0.2934,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
0.367,573.28,0.2929,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
0.369,573.28,0.2931,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
5.202,573.27,0.3043,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
5.202,573.27,0.3057,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
5.202,573.27,0.3047,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
10.155,573.27,0.3066,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
10.155,573.27,0.3072,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
10.156,573.27,0.3066,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
30.167,573.27,0.3171,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
30.167,573.27,0.3173,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
30.167,573.27,0.3175,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
50.208,573.26,0.3253,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
50.204,573.27,0.3274,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
50.202,573.26,0.3283,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
70.114,573.27,0.3387,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
70.106,573.27,0.3381,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
70.099,573.27,0.3376,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
97.001,573.26,0.3548,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
96.99,573.26,0.3549,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
96.979,573.26,0.356,Measurements of Hydrogen Thermal Conductivity at High Pressure and High Temperature,10.1007/s10765-011-1052-5
