pressure,temperature,ML,Buch,Cracknell,Vrabec,Tahery,NIST
40,300,0.223,0.175,0.236238405,0.172164185,0.19816902,0.2188
40,320,0.225,0.178,0.233193896,0.176197268,0.181504166,0.22607
40,340,0.234,0.176,0.245490379,0.196585142,0.194057184,0.233
40,360,0.2407,0.188,0.267479229,0.185261089,0.198427712,0.24048
40,380,0.245,0.195,0.272598153,0.177843177,0.196504762,0.2476
40,400,0.257,0.193,0.262695907,0.174248992,0.210010122,0.2547
40,420,0.2567,0.196,0.275171869,0.195211344,0.206012078,0.2618
40,440,0.2668,0.189,0.271007056,0.202869921,0.215729501,0.2689
40,460,0.2667,0.214,0.27647591,0.202328337,0.229311775,0.276
40,480,0.2725,0.2,0.282692769,0.210417963,0.210186273,0.283
40,500,0.279,0.202,0.272770345,0.221115507,0.202913888,0.289
40,520,0.2835,0.218,0.332149364,0.221741108,0.216940695,0.297
40,540,0.305,0.231,0.350439374,0.237391379,0.250150061,0.304
40,560,0.313,0.214,0.289610578,0.230926174,0.25391131,0.311
40,580,0.319,0.22,0.325262552,0.214135113,0.238300847,0.318
40,600,0.323,0.216,0.307498678,0.243518822,0.25952546,0.325
40,620,0.334,0.23,0.343058806,0.223589249,0.261234394,0.332
40,640,0.333,0.228,0.35701177,0.229471357,0.255194338,0.339
40,660,0.339,0.252,0.302242502,0.239583141,0.24770001,0.346
40,680,0.353,0.242,0.332979155,0.244135625,0.253435397,0.354
40,700,0.36,0.251,0.359956637,0.262,0.263231276,0.361
60,300,0.225,0.19119437,0.236238405,0.172164185,0.186598704,0.2386
60,320,0.245,0.19119437,0.233193896,0.176197268,0.208932092,0.24484
60,340,0.2507,0.198399389,0.245490379,0.196585142,0.206119351,0.251
60,360,0.261,0.205977877,0.267479229,0.185261089,0.207309731,0.2573
60,380,0.263,0.18942083,0.272598153,0.177843177,0.213905282,0.2635
60,400,0.271,0.187197503,0.262695907,0.174248992,0.198323841,0.2698
60,420,0.277,0.203178204,0.275171869,0.195211344,0.22533048,0.276
60,440,0.286,0.219872225,0.271007056,0.202869921,0.226396197,0.282
60,460,0.2807,0.211902396,0.27647591,0.202328337,0.242751952,0.2887
60,480,0.3032,0.20223107,0.282692769,0.210417963,0.249443857,0.295
60,500,0.301,0.220293267,0.272770345,0.221115507,0.22969208,0.301
60,520,0.31,0.216703626,0.332149364,0.221741108,0.249797881,0.3079
60,540,0.3211,0.219517408,0.350439374,0.237391379,0.257156177,0.314
60,560,0.3218,0.216931454,0.289610578,0.230926174,0.252127721,0.321
60,580,0.328,0.235497154,0.325262552,0.214135113,0.262845162,0.327
60,600,0.3227,0.238128955,0.307498678,0.243518822,0.273921122,0.334
60,620,0.347,0.252873284,0.343058806,0.223589249,0.273288704,0.341
60,640,0.356,0.224420055,0.35701177,0.229471357,0.273066893,0.347
60,660,0.354,0.253637628,0.302242502,0.239583141,0.279558557,0.354
60,680,0.367,0.269342254,0.332979155,0.244135625,0.284848447,0.361
60,700,0.366,0.258439675,0.359956637,0.262,0.288444295,0.3677
80,300,0.259,0.275794083,0.260453143,0.206140024,0.224939523,0.26
80,320,0.262,0.20777985,0.283135825,0.201219603,0.217095349,0.26523
80,340,0.274,0.251780949,0.267177794,0.218971492,0.212320393,0.27
80,360,0.2814,0.235634669,0.298420143,0.20702991,0.239982476,0.2759
80,380,0.2816,0.21645916,0.274998193,0.226654561,0.242292301,0.2813
80,400,0.2907,0.206033621,0.289616944,0.240192949,0.251413436,0.2869
80,420,0.291,0.232449521,0.307525567,0.239311308,0.240501193,0.2925
80,440,0.3089,0.228492567,0.296808718,0.216613403,0.231027497,0.2982
80,460,0.289,0.22825249,0.302948573,0.232706422,0.242846571,0.304
80,480,0.3112,0.242936579,0.326845978,0.228149694,0.2486306,0.3097
80,500,0.3186,0.239821318,0.355364017,0.2186189,0.251255442,0.316
80,520,0.325,0.225651995,0.321972563,0.226522625,0.255556246,0.3214
80,540,0.335,0.238561685,0.352922223,0.248367946,0.273966403,0.327
80,560,0.347,0.269416038,0.351805426,0.224003507,0.268209191,0.333
80,580,0.344,0.241662145,0.336455538,0.261980364,0.261366548,0.339
80,600,0.354,0.247235515,0.366116784,0.260749143,0.261041406,0.3455
80,620,0.366,0.244364199,0.366658209,0.24834339,0.273736491,0.352
80,640,0.3565,0.271129422,0.385437043,0.259674237,0.276669902,0.358
80,660,0.3567,0.256620448,0.37812754,0.282055228,0.284069319,0.364
80,680,0.38,0.270614143,0.392266602,0.275002757,0.287213954,0.371
80,700,0.379,0.284014053,0.374555638,0.290721968,0.304275398,0.3886
100,300,0.272,0.254850869,0.265156,0.239637959,0.240364562,0.28508
100,320,0.2796,0.248937601,0.278975547,0.237882212,0.257542396,0.28843
100,340,0.286,0.223686056,0.313578593,0.212555947,0.245619999,0.29227
100,360,0.286,0.250027736,0.295778124,0.226751929,0.265619542,0.29648
100,380,0.2933,0.243097867,0.306797374,0.226587829,0.265298442,0.30096
100,400,0.2968,0.242490605,0.313254192,0.238395326,0.233192217,0.30566
100,420,0.308,0.240724479,0.29895378,0.23509046,0.241339164,0.31052
100,440,0.3272,0.239450922,0.324037747,0.224085093,0.234966944,0.31553
100,460,0.3228,0.238137119,0.341829917,0.226363011,0.252555565,0.32065
100,480,0.334,0.252690085,0.336948387,0.244863526,0.254975209,0.32587
100,500,0.327,0.252476956,0.367868213,0.244936778,0.265208723,0.33118
100,520,0.326,0.250146796,0.323239919,0.245318759,0.261036259,0.33658
100,540,0.3386,0.25728539,0.364309943,0.258715867,0.254184753,0.34206
100,560,0.3377,0.255608378,0.370282997,0.25510471,0.279470555,0.34762
100,580,0.3454,0.268276776,0.373252991,0.257174271,0.282630689,0.35326
100,600,0.3587,0.257283986,0.369690114,0.247804627,0.29107269,0.35897
100,620,0.3518,0.273568173,0.379517262,0.282974401,0.294545908,0.365
100,640,0.371,0.264013178,0.377587571,0.259406113,0.296572358,0.37
100,660,0.377,0.281692142,0.382216372,0.253910513,0.297706146,0.376
100,680,0.382,0.26643385,0.384852227,0.271909072,0.302210499,0.3825
100,700,0.388,0.288294569,0.4267,0.2830708,0.320224503,0.3886
120,300,0.3048,0.240676895,0.273630036,0.222603016,0.258809531,0.31656
120,320,0.3098,0.242990379,0.294673372,0.224980549,0.267571879,0.31707
120,340,0.3125,0.251324051,0.289806232,0.248388744,0.254852836,0.31858
120,360,0.3146,0.241397584,0.29468775,0.230039735,0.261471549,0.32086
120,380,0.3146,0.258003801,0.327070901,0.229878081,0.279858638,0.32375
120,400,0.33,0.235743716,0.302432268,0.247873164,0.238813945,0.32711
120,420,0.333,0.242287519,0.331249935,0.24037988,0.263654557,0.33085
120,440,0.327,0.253647501,0.320736922,0.231272846,0.286174723,0.33085
120,460,0.324,0.26680525,0.32472736,0.247529422,0.285083981,0.33919
120,480,0.3349,0.246781303,0.3471622,0.240482787,0.26484448,0.3437
120,500,0.3487,0.269575896,0.363039674,0.252019481,0.277920803,0.34838
120,520,0.3522,0.272850742,0.337276066,0.244810174,0.255673428,0.35321
120,540,0.3512,0.297147234,0.355465127,0.243612849,0.284683151,0.35818
120,560,0.3623,0.248209979,0.387364299,0.251674135,0.288096699,0.36327
120,580,0.363,0.263848913,0.387629024,0.240692142,0.305797044,0.36847
120,600,0.357,0.291429342,0.375937438,0.256456938,0.304824908,0.37377
120,620,0.3817,0.274256284,0.387983024,0.249842972,0.305449682,0.379
120,640,0.378,0.284471736,0.374617764,0.266024417,0.270953692,0.3846
120,660,0.392,0.288166768,0.397582051,0.266903944,0.308306307,0.39
120,680,0.4,0.286303145,0.388027312,0.268045014,0.285445693,0.3959
120,700,0.407,0.311565127,0.422566543,0.271262973,0.309231017,0.4016
140,300,0.311,0.296654056,0.293602248,0.264428704,0.273857726,0.357
140,320,0.3425,0.265873863,0.302461713,0.259395606,0.25763437,0.35392
140,340,0.3412,0.257725768,0.336667585,0.263487233,0.273256447,0.352
140,360,0.333,0.263499047,0.297151405,0.27507884,0.309355425,0.35138
140,380,0.335,0.2826571,0.318930972,0.254428749,0.28463862,0.35182
140,400,0.3422,0.271172638,0.335458468,0.254720412,0.273880799,0.353
140,420,0.339,0.277033277,0.321584592,0.269614682,0.283133977,0.35511
140,440,0.349,0.260654867,0.342831153,0.2795022,0.271854175,0.357
140,460,0.357,0.274233227,0.366143646,0.260288415,0.297418396,0.36069
140,480,0.367,0.280043495,0.331782469,0.281354056,0.289806403,0.36411
140,500,0.3632,0.277301296,0.350174357,0.261562813,0.265200704,0.36785
140,520,0.3612,0.276573684,0.352354044,0.255134318,0.321636534,0.37186
140,540,0.363,0.293610166,0.383516445,0.294085774,0.287975235,0.37612
140,560,0.3712,0.294894218,0.359319748,0.289563758,0.291369483,0.38057
140,580,0.3814,0.304102667,0.347263302,0.283461126,0.292425524,0.38521
140,600,0.394,0.285545447,0.380821792,0.27663123,0.288598779,0.39
140,620,0.401,0.306819814,0.372884923,0.270649417,0.320827663,0.395
140,640,0.402,0.293338949,0.380119657,0.264695012,0.310389173,0.4
140,660,0.403,0.299039676,0.382407859,0.303029097,0.340922934,0.405
140,680,0.413,0.286169694,0.400740096,0.302251739,0.338589448,0.411
140,700,0.418,0.290966596,0.4015092,0.304210659,0.332674822,0.4159
160,300,0.313,0.299093624,0.306356028,0.264668673,0.272758334,0.41
160,320,0.3327,0.281597769,0.294363485,0.298277571,0.27816531,0.40134
160,340,0.355,0.28313422,0.342383804,0.286356998,0.304388237,0.394
160,360,0.36,0.290589054,0.329526435,0.274627169,0.263904504,0.39
160,380,0.353,0.293849879,0.319926513,0.282824699,0.314078189,0.387
160,400,0.37,0.268172666,0.367755745,0.269363121,0.294201058,0.3857
160,420,0.377,0.295812912,0.325758239,0.280784363,0.274599433,0.38517
160,440,0.378,0.309418766,0.341308719,0.297535066,0.294694127,0.385
160,460,0.3892,0.299661661,0.366256145,0.297918781,0.291490278,0.38671
