pressure,temperature,ML,Buch,Cracknell,Vrabec,Tahery,NIST
40,300,9.92467,10.3496,13.21332,10.11212,9.787431,9.9168
40,320,10.06667,9.74427,13.85977,9.65438,11.307106,10.227
40,340,10.37333,9.97677,15.01219,10.17157,11.008289,10.543
40,360,10.80667,10.57305,15.55035,10.35964,11.509726,10.863
40,380,11.02333,10.98578,15.12765,10.8488,10.873485,11.186
40,400,11.35,12.00046,16.63691,11.833,12.372802,11.511
40,420,11.65667,11.01538,17.4514,12.40769,12.966091,11.837
40,440,12.23333,11.38491,17.03336,13.33668,13.281914,12.164
40,460,12.59933,11.44994,17.56697,12.29127,13.086349,12.49
40,480,12.81,11.73108,17.9643,12.85946,13.838489,12.816
40,500,12.78,13.09665,18.92581,12.3491,14.036807,13.141
40,520,13.49433,12.68018,20.87801,13.57283,14.335502,13.465
40,540,13.46667,12.60202,18.39219,12.91464,15.077372,13.789
40,560,13.61333,13.59122,21.6354,13.48284,15.242059,14.111
40,580,14.06,14.32985,21.81043,13.55167,14.762464,14.431
40,600,14.15333,14.89148,23.28166,13.60174,15.360064,14.75
40,620,14.906,14.20411,22.26719,13.54358,15.960151,15.068
40,640,14.39,14.83773,24.6355,14.29659,15.840535,15.385
40,660,15.02333,14.65273,22.8275,13.87821,16.505279,15.699
40,680,15.59667,15.48137,22.8021,14.87156,17.195714,16.013
40,700,15.93,15.276,23.48049,15.197,16.056804,16.324
60,300,10.47,10.65,13.12,10.64069,11.227649,10.67
60,320,10.58,11.39,14.96,10.53287,11.11334,10.93
60,340,11.24,10.84,15.09,11.30563,12.694916,11.2
60,360,11.69,10.74,16.06,11.15077,11.84082,11.48
60,380,11.69,11.3,16.84,11.62973,13.500506,11.76
60,400,12.07,12.8,16.27,12.36481,12.151079,12.05
60,420,12.63,13.57,16.76,12.04157,13.526157,12.35
60,440,12.31,12.28,17.43,11.15167,13.479785,12.65
60,460,12.75,11.29,18.16,12.23451,13.292175,12.95
60,480,13.6,13.84,19.71,12.94578,13.626086,13.25
60,500,13.35,11.86,19.95,12.47404,14.192098,13.56
60,520,13.81,11.99,18.97,13.18019,14.137695,13.87
60,540,13.96,13.12,19.84,14.28233,15.12258,14.17
60,560,14.77,14.07,19.44,13.76609,14.768153,14.48
